,Date,State,Confirmed,Recovered,Deaths
107,2020-03-07,New York,76.0,0.0,0.0
108,2020-03-07,North Carolina,2.0,0.0,0.0
109,2020-03-07,Oklahoma,1.0,0.0,0.0
110,2020-03-07,Oregon,6.0,0.0,0.0
111,2020-03-07,Pennsylvania,2.0,0.0,0.0
112,2020-03-07,Rhode Island,3.0,0.0,0.0
113,2020-03-07,South Carolina,2.0,0.0,0.0
114,2020-03-07,Tennessee,1.0,0.0,0.0
115,2020-03-07,Texas,9.0,0.0,0.0
116,2020-03-07,Utah,1.0,0.0,0.0
117,2020-03-07,Washington,107.0,1.0,16.0
118,2020-03-07,Wisconsin,1.0,1.0,0.0
119,2020-03-08,Arizona,5.0,1.0,0.0
120,2020-03-08,California,98.0,2.0,1.0
121,2020-03-08,Colorado,8.0,0.0,0.0
122,2020-03-08,Connecticut,1.0,0.0,0.0
123,2020-03-08,District of Columbia,2.0,0.0,0.0
124,2020-03-08,Florida,11.0,0.0,2.0
125,2020-03-08,Georgia,5.0,0.0,0.0
126,2020-03-08,Hawaii,1.0,0.0,0.0
127,2020-03-08,Illinois,7.0,2.0,0.0
128,2020-03-08,Indiana,2.0,0.0,0.0
129,2020-03-08,Kansas,1.0,0.0,0.0
130,2020-03-08,Kentucky,1.0,0.0,0.0
131,2020-03-08,Maryland,5.0,0.0,0.0
132,2020-03-08,Massachusetts,24.0,1.0,0.0
133,2020-03-08,Minnesota,1.0,0.0,0.0
134,2020-03-08,Missouri,1.0,0.0,0.0
135,2020-03-08,Nebraska,1.0,0.0,0.0
136,2020-03-08,Nevada,4.0,0.0,0.0
137,2020-03-08,New Hampshire,6.0,0.0,0.0
138,2020-03-08,New Jersey,5.0,0.0,0.0
139,2020-03-08,New York,106.0,0.0,0.0
140,2020-03-08,North Carolina,2.0,0.0,0.0
141,2020-03-08,Oklahoma,1.0,0.0,0.0
142,2020-03-08,Oregon,14.0,0.0,0.0
143,2020-03-08,Pennsylvania,6.0,0.0,0.0
144,2020-03-08,Rhode Island,3.0,0.0,0.0
145,2020-03-08,South Carolina,2.0,0.0,0.0
146,2020-03-08,Tennessee,3.0,0.0,0.0
147,2020-03-08,Texas,12.0,0.0,0.0
148,2020-03-08,Utah,1.0,0.0,0.0
149,2020-03-08,Vermont,1.0,0.0,0.0
150,2020-03-08,Virginia,2.0,0.0,0.0
151,2020-03-08,Washington,128.0,1.0,18.0
152,2020-03-08,Wisconsin,1.0,1.0,0.0
153,2020-03-09,Arizona,5.0,1.0,0.0
154,2020-03-09,California,104.0,2.0,1.0
155,2020-03-09,Colorado,8.0,0.0,0.0
156,2020-03-09,Connecticut,1.0,0.0,0.0
157,2020-03-09,District of Columbia,2.0,0.0,0.0
158,2020-03-09,Florida,14.0,0.0,2.0
159,2020-03-09,Georgia,10.0,0.0,0.0
